"Company","Review Summary","industry","size","tagline","description","mission","founded","headquarters","website","employee_count","benefits"
"Avanade Malaysia Sdn Bhd","Working with Microsoft technologies on large-scale projects is a key positive. However, long working hours and demanding project deadlines are frequent complaints. This often creates a poor work-life balance.","Information Technology & Services","Large (500+)","Human Impact in the Digital World","A global professional services company providing IT consulting and services focused on the Microsoft platform with business technology, cloud, and managed services.","To be the leading digital innovator, creating great experiences for our clients and their customers.","2000","Seattle, USA (Global HQ)","https://www.avanade.com/","1001-5000 (Malaysia)","Health Insurance, Microsoft Certifications, Global Projects, EPF, SOCSO, Flexible Work"
"Bjak Sdn Bhd","A fast-paced startup culture with opportunities for growth is valued. However, a chaotic environment and poor management are common concerns. These issues often lead to high employee turnover.","Insurance Technology (InsurTech)","Mid-size (100-500)","Compare and Renew Your Car Insurance Online","Malaysia's leading online platform for comparing and renewing car and motorcycle insurance and road tax.","To make insurance easy and accessible for everyone by providing a transparent and convenient digital platform.","2019","Kuala Lumpur, Malaysia","https://bjak.my/","251-500","Health Insurance, EPF, SOCSO, Fast-Paced Environment, Stock Options"
"CIEF Worldwide Sdn Bhd","The opportunity for international exposure and a diverse work environment are appreciated. However, management can be disorganized and communication is often poor. This can create confusion and hinder project success.","Information Technology & Consulting","Startup (<100)","Your Global IT Partner","An IT consulting and services company that provides solutions to clients across various industries, often involving international projects.","To deliver innovative and reliable IT solutions that help our clients achieve their business objectives worldwide.","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Travel Opportunities, Annual Leave"
"Capgemini Services Malaysia Sdn Bhd","Exposure to large, international clients is a significant advantage. However, poor work-life balance and being on the bench without a project are common issues. This uncertainty can be a source of stress.","Information Technology & Consulting","Large (500+)","Get the Future You Want","A global leader in consulting, technology services, and digital transformation, at the forefront of innovation to address the entire breadth of clients' opportunities in the evolving world of cloud and digital.","To unleash human energy through technology for an inclusive and sustainable future.","1967","Paris, France (Global HQ)","https://www.capgemini.com/","1001-5000 (Malaysia)","Health Insurance, Dental, Optical, Professional Development, EPF, SOCSO"
"Cardzone Sdn Bhd","A friendly and relaxed work environment is a key positive. However, salary is often not competitive and career progression is slow. This makes it a comfortable but less ambitious place to work.","Financial Technology (FinTech)","Startup (<100)","Your Trusted Card Payment Solution Provider","A Malaysian company that provides card payment solutions, including POS terminals and e-payment services, to merchants.","To provide secure, reliable, and innovative card payment solutions that empower businesses to grow.","2009","Kuala Lumpur, Malaysia","https://www.cardzone.com.my/","51-100","EPF, SOCSO, Medical Claims, Annual Leave, Parking Subsidy"
"Cognizant Technology Solutions","The exposure of working in a large MNC is a key benefit. However, slow salary increments and limited career growth are common complaints. This often leads to a lack of motivation for long-term employees.","Information Technology & Services","Large (500+)","Intuition Engineered","An American multinational technology company that provides business consulting, information technology, and outsourcing services.","To help clients build stronger businesses by engineering modern businesses that improve everyday life.","1994","Teaneck, USA (Global HQ)","https://www.cognizant.com/","5001-10000 (Malaysia)","Health Insurance, EPF, SOCSO, Global Exposure, Training Programs"
"Company Confidential","The nature of the work is often interesting and provides good experience. However, a lack of transparency and job instability are significant drawbacks. This uncertainty makes it difficult to plan a long-term career.","Varies","Varies","N/A","This refers to companies that do not disclose their name in job postings, often to avoid alerting incumbents or competitors.","N/A","N/A","N/A","N/A","Varies","Varies"
"DHL Asia Pacific Shared Services Sdn Bhd","A good work-life balance and a stable, process-driven environment are valued. However, the work can be repetitive and career growth is often slow. The bureaucratic nature can be a hurdle for ambitious individuals.","Logistics & Supply Chain","Large (500+)","Excellence. Simply Delivered.","The shared services center for DHL in the Asia Pacific region, providing finance, IT, and HR services to support the logistics giant's operations.","To be the logistics company for the world, connecting people and improving lives.","2005","Cyberjaya, Malaysia","https://www.dhl.com/","1001-5000","Health Insurance, EPF, SOCSO, Wellness Programs, Shuttle Services"
"DKSH Malaysia Sdn Bhd","A strong market presence and good benefits are appreciated. However, the company has a very traditional and hierarchical culture. This can make it slow to adapt and innovate.","Market Expansion Services","Large (500+)","Your partner for growth","A leading Market Expansion Services provider with a focus on Asia, helping companies grow their business in new or existing markets.","To enrich people's lives by providing access to goods, services and insights.","1865","Zurich, Switzerland (Global HQ)","https://www.dksh.com/my/","1001-5000","Health Insurance, EPF, SOCSO, Staff Discounts, Car Allowance (for sales roles)"
"Deloitte","Great learning opportunities and a strong foundation for a professional career are valued. However, grueling hours and a poor work-life balance are significant drawbacks. This intense workload is a well-known aspect of the company culture.","Professional Services & Consulting","Large (500+)","Making an Impact that Matters","A multinational professional services network, offering audit, consulting, financial advisory, risk advisory, tax, and legal services to clients worldwide.","To make an impact that matters by creating trust and confidence in a more equitable world.","1845","London, UK (Global HQ)","https://www2.deloitte.com/my/","5001-10000 (Malaysia)","Health Insurance, Professional Certifications (ACCA, CPA), Wellness Programs, EPF, SOCSO"
"Deloitte Consulting SEA","The prestige and experience gained from high-profile projects are major pros. However, the extremely demanding long hours and high-stress environment are significant negatives. This intensity defines the consulting lifestyle.","Management Consulting","Large (500+)","Making an Impact that Matters","The consulting arm of Deloitte in Southeast Asia, focused on helping clients solve their most complex problems from strategy to implementation.","To help our clients create such a level of value that together we set new standards of excellence in our respective industries.","N/A","Singapore (SEA HQ)","https://www2.deloitte.com/sea/","1001-5000","Health Insurance, High Bonuses, Regional Travel, Professional Development, EPF, SOCSO"
"Dexcom","Working on meaningful products that help people is highly motivating. However, the manufacturing environment can be rigid and demanding. The pressure to maintain quality and output is a constant.","Medical Devices","Large (500+)","Empowering people to take control of diabetes.","A company that develops, manufactures, and distributes continuous glucose monitoring (CGM) systems for diabetes management.","To simplify and improve diabetes management for every person living with diabetes.","1999","San Diego, USA (Global HQ)","https://www.dexcom.com/","501-1000 (Malaysia)","Health Insurance, Dental, Vision, Stock Options, EPF, SOCSO, Meal Subsidies"
"Dun & Bradstreet (D&B) Malaysia Sdn Bhd","Working with a global leader in business data is a key advantage. However, the work environment can be high-pressure with a strong focus on sales. This can be challenging for those not in a sales role.","Financial Services & Data Analytics","Startup (<100)","The Data-Inspired Advantage","The Malaysian office of the global company that provides commercial data, analytics, and insights for businesses.","To help clients and partners grow and thrive through the power of data.","1841","Jacksonville, USA (Global HQ)","https://www.dnb.com.my/","51-100","Health Insurance, Sales Commission, EPF, SOCSO, Training"
"ENDLESS TRADING SDN. BHD.","The opportunity to learn about the e-commerce industry is a positive. However, the environment is often disorganized with a lack of clear direction. This startup chaos can be stressful for many.","Retail & E-commerce","Startup (<100)","N/A","A trading company that operates primarily in the e-commerce space, managing online stores across various platforms.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Annual Leave"
"EPS Malaysia","Good exposure to different clients and a friendly work culture are appreciated. However, the compensation and benefits are often below market rate. This makes it difficult to retain talent long-term.","Human Resources","Startup (<100)","Your Trusted HR Partner","A recruitment and payroll outsourcing company providing services to businesses in Malaysia.","To provide efficient and reliable HR solutions that allow our clients to focus on their core business.","1993","Kuala Lumpur, Malaysia","https://www.eps.my/","51-100","EPF, SOCSO, Medical Claims, Annual Leave"
"ExxonMobil Malaysia","Excellent compensation and benefits are a major advantage. However, the culture is very bureaucratic and decision-making is slow. This traditional environment can be stifling for those seeking agility.","Oil & Gas","Large (500+)","Powering Progress","One of the world's largest publicly traded international oil and gas companies, using technology and innovation to help meet the world's growing energy needs.","To provide energy and chemical products that are essential to modern life and economic development in a safe and responsible manner.","1870","Texas, USA (Global HQ)","https://corporate.exxonmobil.com/","1001-5000 (Malaysia)","High Compensation, Health Insurance, Share Program, Pension Plan, EPF, SOCSO"
"Experian (Malaysia) Sdn Bhd","A good work culture and interesting data-centric projects are key positives. However, navigating the corporate bureaucracy can be a significant challenge. This often slows down processes and individual progress.","Financial Services & Data Analytics","Mid-size (100-500)","Unlocking the power of data to create opportunities for people, businesses and society.","A global information services company, providing data and analytical tools to clients around the world. Best known for its credit reporting services.","To create a better tomorrow by unlocking the power of data.","1996","Dublin, Ireland (Global HQ)","https://www.experian.com.my/","251-500","Health Insurance, Flexible Work Arrangements, Wellness Programs, EPF, SOCSO"
"FINSURGE PTE. LTD.","A dynamic startup environment with a lot of learning opportunities is valued. However, there is a lack of structure and processes. This can lead to a chaotic and sometimes stressful work experience.","Financial Technology (FinTech)","Startup (<100)","Empowering Financial Freedom","A fintech startup focused on building financial products and solutions for the Southeast Asian market.","To leverage technology to make financial services more accessible and user-friendly.","N/A","Singapore","N/A","11-50","Flexible Work, EPF, SOCSO, Stock Options, Learning Opportunities"
"First Solar Malaysia Sdn Bhd","Good benefits and a stable, high-tech manufacturing environment are key positives. However, the work can be repetitive and physically demanding. This is a common trade-off for the stability offered.","Renewable Energy & Manufacturing","Large (500+)","Leading the World's Sustainable Energy Future","A leading American solar technology company and global provider of responsibly-produced, eco-efficient solar modules.","To provide a sustainable energy solution that protects our environment and improves global living standards.","1999","Tempe, USA (Global HQ)","https://www.firstsolar.com/","1001-5000 (Malaysia)","Health Insurance, Dental, Vision, Shift Allowances, Bonuses, EPF, SOCSO"
"Flintex Consulting Pte Ltd","The exposure to international clients and projects is a major draw. However, management is often poor and there is a lack of employee support. This can lead to a negative overall experience.","Information Technology & Services","Startup (<100)","Your Partner in Digital Transformation","An IT consulting firm that provides outsourcing and technology services to clients globally.","To deliver reliable and effective IT solutions to our partners worldwide.","N/A","Singapore","N/A","11-50","EPF, SOCSO, Overseas Projects"
"FootfallCam","The opportunity to work with interesting AI and data products is a positive. However, the management style is often described as micromanaging and toxic. This creates a stressful and unpleasant work environment.","Information Technology & Retail Analytics","Mid-size (100-500)","The Business Intelligence Solution","A UK-based technology company that specializes in people counting systems and retail analytics to help businesses understand visitor traffic.","To provide businesses with accurate data and insights to optimize their operations and marketing strategies.","2002","London, UK","https://www.footfallcam.com/","101-250","EPF, SOCSO, Medical Claims, Technical Exposure"
"GAMUDA BERHAD","The opportunity to work on large, nation-building infrastructure projects is a key pro. However, the work culture can be very traditional and hierarchical. This often results in slow decision-making and bureaucracy.","Engineering & Construction","Large (500+)","Engineering Expertise, Construction Delivery","A leading engineering, property and infrastructure company in Malaysia, involved in some of the nation's most significant development projects.","To be the leading Malaysian company in engineering, construction, and infrastructure, delivering innovative and sustainable solutions.","1976","Petaling Jaya, Malaysia","https://gamuda.com.my/","1001-5000","Health Insurance, EPF, SOCSO, Project Allowances, Professional Development"
"Genting Malaysia Berhad","The brand name and employee benefits are considered good. However, the work environment is often political and career progression is slow. This can make it a challenging place to build a long-term career.","Hospitality & Leisure","Large (500+)","A World of Entertainment","A leading multinational company specializing in leisure and hospitality, best known for its integrated resort, Resorts World Genting.","To be the leading integrated resort operator in the world.","1980","Kuala Lumpur, Malaysia","https://www.gentingmalaysia.com/","10000+","Health Insurance, Staff Accommodation, Meal Subsidies, EPF, SOCSO, Service Charge"
"Hartalega NGC Sdn Bhd","High pay for the manufacturing sector is a significant advantage. However, the work environment is extremely high-pressure and very strict. This demanding atmosphere defines the daily employee experience.","Manufacturing","Large (500+)","To be the best","The world's largest producer of nitrile gloves, operating state-of-the-art manufacturing facilities.","To be the number one glove company in the world that provides the best protection to people in all walks of life.","1988","Sepang, Malaysia","https://www.hartalega.com.my/","5001-10000","High Compensation, Health Insurance, Hostel, Transport, EPF, SOCSO, Production Bonus"
"Hilti (Malaysia) Sdn Bhd","A strong company culture and high-quality products are highly valued. However, it is a demanding, performance-driven sales environment. The pressure to meet targets is a constant focus.","Construction","Mid-size (100-500)","Making Construction Better","A multinational company that develops, manufactures, and markets products for the construction, building maintenance, energy and manufacturing industries.","To passionately create enthusiastic customers and build a better future.","1941","Schaan, Liechtenstein (Global HQ)","https://www.hilti.com.my/","101-250","Health Insurance, Company Car, Sales Commission, International Training, EPF, SOCSO"
"Hong Leong Assurance Berhad","A stable work environment within a large, well-known group is a positive. However, the culture is often described as traditional and slow-moving. Innovation and modern practices can be slow to be adopted.","Insurance","Large (500+)","Your Partner in Life","One of Malaysia's leading domestic life insurers, providing a wide range of insurance and financial products.","To provide financial security and peace of mind to our customers.","1972","Kuala Lumpur, Malaysia","https://www.hla.com.my/","1001-5000","Health Insurance, EPF, SOCSO, Staff Loans, Insurance Discounts"
"Huawei Technologies (Malaysia) Sdn. Bhd","Working with cutting-edge technology and high compensation are key benefits. However, the intense and extremely demanding work culture is a common complaint. This often leads to significant work-life balance challenges.","Telecommunications","Large (500+)","Building a Fully Connected, Intelligent World","A leading global provider of information and communications technology (ICT) infrastructure and smart devices.","To bring digital to every person, home and organization for a fully connected, intelligent world.","1987","Shenzhen, China (Global HQ)","https://www.huawei.com/my/","1001-5000 (Malaysia)","High Compensation, Health Insurance, Meal Allowances, Global Projects, EPF, SOCSO"
"Hytech Consulting Management Sdn Bhd","The company provides a platform to enter the IT industry. However, it is often seen as a bodyshopping firm with low pay. The lack of direct connection to a primary employer is a major drawback.","Information Technology & Services","Startup (<100)","Your IT Outsourcing Partner","An IT outsourcing and manpower services company that places IT professionals at various client sites.","To provide skilled IT professionals to meet the specific needs of our clients.","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Project-based Placements"
"IDC Technologies","The opportunity to be placed at large client sites is a key advantage. However, benefits and job security are often poor. Employees often feel like contractors rather than valued team members.","Information Technology & Services","Large (500+)","Accelerating Business Transformation","A global IT services and solutions provider that offers a range of services including consulting, staffing, and project outsourcing.","To deliver innovative and effective technology solutions that help our clients succeed.","2003","Noida, India (Global HQ)","https://www.idctechnologies.com/","1001-5000","EPF, SOCSO, Client-site Exposure"
"IFCA MSC Berhad","The company is a market leader in its specific software niche. However, the management is often viewed as poor and the work culture can be toxic. These issues overshadow the company's market position.","Information Technology & Services","Mid-size (100-500)","The No. 1 Software Company for the Property Industry","A leading business software provider for the property industry in Asia, offering solutions for property management, development, and construction.","To be the global leader in providing integrated business solutions for the property industry.","1987","Petaling Jaya, Malaysia","https://www.ifca.asia/","251-500","EPF, SOCSO, Medical Claims, Annual Leave"
"ISJ TECHNOLOGY SDN. BHD.","A relaxed and friendly startup environment is appreciated. However, the salary and benefits are not competitive. This makes it difficult to attract and retain experienced talent.","Information Technology & Services","Startup (<100)","N/A","A small IT services and solutions company based in Malaysia.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Flexible Environment"
"Impressive Communications Sdn Bhd","A youthful and energetic work environment is a key positive. However, the pay is low and the work can be very demanding with long hours. It is often seen as a place to start but not to stay.","Public Relations & Communications","Startup (<100)","Making Brands Impressive","A PR and digital marketing agency that focuses on creating campaigns for a variety of brands.","To deliver impressive and impactful communication strategies for our clients.","2015","Kuala Lumpur, Malaysia","https://www.impressive.com.my/","11-50","EPF, SOCSO, Creative Environment, Annual Leave"
"Intel Technology Sdn. Bhd.","The opportunity to work on cutting-edge technology is a major advantage. However, a demanding, high-pressure culture is a common concern. This environment can make achieving work-life balance difficult for many employees.","Semiconductors & Manufacturing","Large (500+)","Go Do Something Wonderful","A global technology company that designs and manufactures microprocessors and other semiconductor components for the computer and technology industries.","To create world-changing technology that improves the life of every person on the planet.","1968","Santa Clara, USA (Global HQ)","https://www.intel.my/","5001-10000+ (Malaysia)","Health Insurance, Stock Options (RSU), Bonuses, Gym Facilities, EPF, SOCSO, Sabbatical Leave"
"JP Caliber","It provides a good entry point for a career in recruitment. However, the environment is high-pressure with a strong focus on sales targets. The commission-based structure can be very stressful.","Human Resources","Startup (<100)","Caliber in Recruitment","A recruitment agency that specializes in placing candidates in the technology and corporate sectors.","To be the recruitment partner of choice, known for our caliber and professionalism.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Sales Commission, Training"
"Juris Technologies Sdn Bhd","Working on a leading software product for the financial industry is a key pro. However, the management style can be challenging and the workload is heavy. The pressure to deliver is a constant.","Financial Technology (FinTech)","Mid-size (100-500)","The Art of The Edge","A Malaysian financial technology company specializing in enterprise-class software solutions for banks, financial institutions, and telecommunications companies.","To create and deliver superior software solutions that provide our clients with a competitive edge.","1997","Kuala Lumpur, Malaysia","https://www.juris.com.my/","101-250","Health Insurance, EPF, SOCSO, Parking Allowance, Book Allowance, Professional Development"
"KRAFT SOFTWARE SOLUTIONS SDN. BHD.","A flexible and friendly working environment is valued. However, there is a lack of structure and career development plans. This can make long-term growth within the company unclear.","Information Technology & Services","Startup (<100)","N/A","A custom software development company providing solutions for various businesses.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Flexible Hours, Annual Leave"
"Kamlax Global Technologies Sdn Bhd.","The company offers exposure to various IT projects. However, it often functions as a manpower agency with poor employee benefits. The lack of job security is a significant concern.","Information Technology & Services","Startup (<100)","Your Global IT Partner","An IT staffing and outsourcing company that provides technical manpower to other corporations.","To be a reliable source of IT talent for our clients' project needs.","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Project-based Work"
"Kris Infotech Sdn Bhd","The company provides opportunities to work with large clients. However, salaries are often delayed and management is unresponsive. These fundamental issues create a very poor employee experience.","Information Technology & Services","Startup (<100)","N/A","An IT services company that provides consulting and outsourcing services.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","11-50","EPF, SOCSO, Client Exposure"
"LUXOFT MALAYSIA SDN. BHD.","The opportunity to work for international clients on interesting projects is a major positive. However, the management and HR processes can be bureaucratic and inefficient. This can lead to frustration for employees.","Information Technology & Services","Large (500+)","Engineering the Future of Mobility","A global digital strategy and software engineering firm, providing bespoke technology solutions that drive business change for customers in various industries.","To enable our clients to achieve their business goals by providing innovative, best-in-class IT solutions and services.","2000","Zug, Switzerland (Global HQ)","https://www.luxoft.com/","501-1000 (Malaysia)","Health Insurance, EPF, SOCSO, Global Projects, Flexible Work"
"MINDTECK SOFTWARE MALAYSIA SDN BHD","The company has a portfolio of well-known clients. However, it is often criticized for low pay and poor project management. Employees often feel undervalued and overworked.","Information Technology & Services","Mid-size (100-500)","Welcome to the world of Mindteck","A global technology company that provides product engineering solutions and IT services to top-tier clients in various industries.","To provide technology and resource solutions to our clients, enabling them to realize their business goals.","1991","Bangalore, India (Global HQ)","https://www.mindteck.com/","101-250 (Malaysia)","EPF, SOCSO, Medical Claims, Client-site Opportunities"
"MODE FAIR SDN BHD","A modern, influencer-focused startup culture is a key draw. However, the work environment is often unstructured and expectations can be unclear. This can be challenging for those who prefer more stability.","Marketing & Advertising","Startup (<100)","Influencer Marketing Made Easy","An influencer marketing platform that connects brands with social media influencers to create marketing campaigns.","To democratize influencer marketing and make it accessible for businesses of all sizes.","2016","Kuala Lumpur, Malaysia","https://www.modefair.com/","11-50","EPF, SOCSO, Creative Environment, Flexible Work"
"Malayan Banking Berhad (Maybank)","Job stability and good employee benefits are highlighted as key positives. However, a bureaucratic culture and slow career progression are frequent complaints. This pace can be a point of frustration for those seeking dynamic growth.","Banking & Finance","Large (500+)","Humanising Financial Services","Malaysia's largest financial services group and a leading banking group in Southeast Asia, with a significant presence in corporate and retail banking.","To humanise financial services across Asia, providing people with convenient access to financing, and to be at the heart of the community.","1960","Kuala Lumpur, Malaysia","https://www.maybank.com/","10000+","Health Insurance, Staff Housing Loans, Car Loans, Festival Bonuses, EPF, SOCSO"
"Mewah Group","Working for a large, established player in the commodities industry is a pro. However, the culture is very traditional and old-fashioned. This can make it a difficult environment for new ideas and change.","Food & Beverage Manufacturing","Large (500+)","Quality Oils and Fats","An integrated global agri-business focused on edible oils and fats, with refineries and processing facilities in Malaysia and Singapore.","To be a leading global edible oil and fat company, delivering quality products to the world.","1950s","Singapore","https://www.mewahgroup.com/","1001-5000","Health Insurance, EPF, SOCSO, Staff Canteen, Stable Employment"
"Michael Page International (Malaysia) Sdn Bhd","High earning potential and a dynamic, fast-paced environment are appreciated. However, the high-stress sales culture is a significant drawback. The pressure to hit targets is a core part of the job.","Human Resources","Mid-size (100-500)","Changing Lives for People Through Creating Opportunity","A worldwide leader in specialist recruitment, part of the PageGroup, connecting skilled professionals with businesses across a wide range of industries.","To change the lives of our candidates, clients, and employees for the better.","1976","Weybridge, UK (Global HQ)","https://www.michaelpage.com.my/","101-250 (Malaysia)","High Commission, Health Insurance, International Career Opportunities, EPF, SOCSO"
"Mobilityone Sdn Bhd","A relaxed work environment and friendly colleagues are positives. However, career growth is limited and the technology used can be outdated. This makes it less appealing for ambitious tech professionals.","Financial Technology (FinTech)","Startup (<100)","Your e-Payment Solution","A technology company that provides e-payment solutions for various services, including mobile reloads, bill payments, and e-commerce.","To provide a secure and convenient e-payment platform for everyone.","2005","Kuala Lumpur, Malaysia","https://www.mobilityone.com.my/","11-50","EPF, SOCSO, Medical Claims, Parking, Relaxed Culture"
"Motorola Solutions Malaysia Sdn Bhd","A good work-life balance and stable work environment are valued. However, the pace of innovation can be slower compared to other tech firms. This makes it a less dynamic but more stable workplace.","Telecommunications & Public Safety","Large (500+)","Helping People Be Their Best in the Moments That Matter","A global leader in mission-critical communications and analytics, providing solutions for public safety and enterprise customers.","To help people be their best in the moments that matter.","1928","Chicago, USA (Global HQ)","https://www.motorolasolutions.com/","1001-5000 (Malaysia)","Health Insurance, Flexible Work, Wellness Programs, EPF, SOCSO, Stable Environment"
"ORSTED MALAYSIA SDN BHD","Working for a global leader in renewable energy is highly motivating. However, as a new setup, the processes can be unstructured. There can be challenges in navigating a global matrix organization.","Renewable Energy","Startup (<100)","Let's create a world that runs entirely on green energy","The Malaysian entity of the Danish multinational power company, a global leader in offshore wind power.","To lead the transition to green energy.","2017 (in Malaysia)","Copenhagen, Denmark (Global HQ)","https://orsted.com/","1-10 (Malaysia)","Health Insurance, EPF, SOCSO, Global Exposure, Green Initiatives"
"OSRAM Opto Semiconductors (Malaysia) Sdn Bhd","The opportunity to work with advanced German technology is a key positive. However, the organizational structure can be rigid and hierarchical. This often limits flexibility and rapid decision-making.","Semiconductors & Manufacturing","Large (500+)","Light is OSRAM","A leading global high-tech company that utilizes the infinite possibilities of light to improve the quality of life for individuals and communities. Specializes in opto-semiconductors.","To use the possibilities of light to improve the quality of life.","1919","Munich, Germany (Global HQ)","https://www.osram.com/","5001-10000+ (Malaysia)","Health Insurance, Shift Allowances, Transport Subsidies, Bonuses, EPF, SOCSO"
"Oxydata Software Sdn Bhd","A small, close-knit team environment is appreciated. However, the projects are often small-scale with limited learning opportunities. The lack of challenging work can lead to stagnation.","Information Technology & Services","Startup (<100)","N/A","A small software development and IT services firm.","N/A","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Relaxed Environment, Annual Leave"
